breed,query
German Shorthaired Pointer,german shorthaired pointer dog
German Spitz,german spitz dog
German Wirehaired Pointer,german wirehaired pointer dog
Giant Schnauzer,giant schnauzer dog
Glen of Imaal Terrier,glen of imaal terrier
Goberian,goberian dog
Goldador,goldador dog
Golden Cocker Retriever,golden cocker retriever dog
Golden Mountain Dog,golden mountain dog
Golden Retriever,golden retriever dog
Golden Retriever Corgi,golden retriever corgi dog
Golden Shepherd,golden shepherd dog
Goldendoodle,goldendoodle dog
Gollie,gollie dog
Gordon Setter,gordon setter dog
Great Dane,great dane dog
Great Pyrenees,great pyrenees dog
Greater Swiss Mountain Dog,greater swiss mountain dog
Greyador,greyador dog
Greyhound,greyhound
Hamiltonstovare,hamiltonstovare dog
Hanoverian Scenthound,hanoverian scenthound
Harrier,harrier dog
Havanese,havanese dog
Havapoo,havapoo dog
Hokkaido,hokkaido dog
Horgi,horgi dog
Hovawart,hovawart dog
Huskita,huskita dog
Huskydoodle,huskydoodle dog
Ibizan Hound,ibizan hound
Icelandic Sheepdog,icelandic sheepdog
Irish Red And White Setter,irish red and white setter dog
Irish Setter,irish setter dog
Irish Terrier,irish terrier
Irish Water Spaniel,irish water spaniel dog
Irish Wolfhound,irish wolfhound
Italian Greyhound,italian greyhound
Jack-A-Poo,jack-a-poo dog
Jack Chi,jack chi dog
Jack Russell Terrier,jack russell terrier
Jackshund,jackshund dog
Jagdterrier,jagdterrier
Japanese Chin,japanese chin dog
Japanese Spitz,japanese spitz dog
Korean Jindo Dog,korean jindo dog
Kai Ken,kai ken dog
Kangal Shepherd Dog,kangal shepherd dog
Karelian Bear Dog,karelian bear dog
Keeshond,keeshond dog
Kerry Blue Terrier,kerry blue terrier
King Shepherd,king shepherd dog
Kishu Ken,kishu ken dog
Komondor,komondor dog
Kooikerhondje,kooikerhondje dog
Kromfohrlander,kromfohrlander dog
Kuvasz,kuvasz dog
Kyi-Leo,kyi-leo dog
Lab Pointer,lab pointer dog
Labernese,labernese dog
Labmaraner,labmaraner dog
Labrabull,labrabull dog
Labradane,labradane dog
Labradoodle,labradoodle dog
Labrador Retriever,labrador retriever dog
Labrastaff,labrastaff dog
Labsky,labsky dog
Lagotto Romagnolo,lagotto romagnolo dog
Lakeland Terrier,lakeland terrier
Lancashire Heeler,lancashire heeler dog
Lapponian Herder,lapponian herder dog
Leonberger,leonberger dog
Lhasa Apso,lhasa apso dog
Lhasapoo,lhasapoo dog
Lowchen,lowchen dog
Maltese,maltese dog
Maltese Shih Tzu,maltese shih tzu dog
Maltipoo,maltipoo dog
Manchester Terrier,manchester terrier
Maremma Sheepdog,maremma sheepdog
Mastador,mastador dog
Mastiff,mastiff dog
Miniature Pinscher,miniature pinscher dog
Miniature Schnauzer,miniature schnauzer dog
Morkie,morkie dog
Mountain Cur,mountain cur dog
Mountain Feist,mountain feist dog
Mudi,mudi dog
Neapolitan Mastiff,neapolitan mastiff dog
Newfoundland,newfoundland dog
Norfolk Terrier,norfolk terrier
Northern Inuit Dog,northern inuit dog
Norwegian Buhund,norwegian buhund dog
Norwegian Elkhound,norwegian elkhound
Norwegian Lundehund,norwegian lundehund dog
Norwich Terrier,norwich terrier
Nova Scotia Duck Tolling Retriever,nova scotia duck tolling retriever dog
Old English Sheepdog,old english sheepdog
Otterhound,otterhound
Papillon,papillon dog
Papipoo,papipoo dog
Patterdale Terrier,patterdale terrier
Peekapoo,peekapoo dog
Pekingese,pekingese dog
Pembroke Welsh Corgi,pembroke welsh corgi dog
Perro de Presa Canario,perro de presa canario dog
Petit Basset Griffon Vendéen,petit basset griffon vendéen dog
Pharaoh Hound,pharaoh hound
Pitsky,pitsky dog
Plott,plott dog
Pocket Beagle,pocket beagle dog
Pointer,pointer dog
Polish Lowland Sheepdog,polish lowland sheepdog
Pomapoo,pomapoo dog
Pomchi,pomchi dog
Pomeagle,pomeagle dog
Pomeranian,pomeranian dog
Pomsky,pomsky dog
Poochon,poochon dog
Poodle,poodle dog
Porcelaine,porcelaine dog
Portuguese Podengo Pequeno,portuguese podengo pequeno dog
Portuguese Pointer,portuguese pointer dog
Portuguese Sheepdog,portuguese sheepdog
Portuguese Water Dog,portuguese water dog
Pudelpointer,pudelpointer dog
Pug,pug dog
Pugalier,pugalier dog
Puggle,puggle dog
Puginese,puginese dog
Puli,puli dog
Pyredoodle,pyredoodle dog
Pyrenean Mastiff,pyrenean mastiff dog
Pyrenean Shepherd,pyrenean shepherd dog
Rafeiro do Alentejo,rafeiro do alentejo dog
Rat Terrier,rat terrier
Redbone Coonhound,redbone coonhound
Rhodesian Ridgeback,rhodesian ridgeback dog
Romanian Mioritic Shepherd Dog,romanian mioritic shepherd dog
Rottador,rottador dog
Rottle,rottle dog
Rottweiler,rottweiler dog
Russian Toy,russian toy dog
Russian Tsvetnaya Bolonka,russian tsvetnaya bolonka dog
Saint Berdoodle,saint berdoodle dog
Saint Bernard,saint bernard dog
Saluki,saluki dog
Samoyed,samoyed dog
Samusky,samusky dog
Schapendoes,schapendoes dog
Schipperke,schipperke dog
Schnocker,schnocker dog
Schnoodle,schnoodle dog
Scottish Deerhound,scottish deerhound
Scottish Terrier,scottish terrier
Sealyham Terrier,sealyham terrier
Segugio Italiano,segugio italiano dog
Sheepadoodle,sheepadoodle dog
Shepsky,shepsky dog
Shetland Sheepdog,shetland sheepdog
Shiba Inu,shiba inu dog
Shichon,shichon dog
Shih-Poo,shih-poo dog
Shih Tzu,shih tzu dog
Shikoku,shikoku dog
Shiloh Shepherd,shiloh shepherd dog
Shiranian,shiranian dog
Shollie,shollie dog
Shorkie,shorkie dog
Siberian Husky,siberian husky dog
Silken Windhound,silken windhound
Silky Terrier,silky terrier
Skye Terrier,skye terrier
Sloughi,sloughi dog
Slovakian Wirehaired Pointer,slovakian wirehaired pointer dog
Slovensky Cuvac,slovensky cuvac dog
Slovensky Kopov,slovensky kopov dog
Small Munsterlander Pointer,small munsterlander pointer dog
Soft Coated Wheaten Terrier,soft coated wheaten terrier
Spanish Mastiff,spanish mastiff dog
Spanish Water Dog,spanish water dog
Spinone Italiano,spinone italiano dog
Springador,springador dog
Stabyhoun,stabyhoun dog
Staffordshire Bull Terrier,staffordshire bull terrier
Staffy Bull Bullmastiff,staffy bull bullmastiff dog
Standard Schnauzer,standard schnauzer dog
Sussex Spaniel,sussex spaniel dog
Swedish Lapphund,swedish lapphund dog
Swedish Vallhund,swedish vallhund dog
Taiwan Dog,taiwan dog
Terripoo,terripoo dog
Texas Heeler,texas heeler dog
Thai Ridgeback,thai ridgeback dog
Tibetan Mastiff,tibetan mastiff dog
Tibetan Spaniel,tibetan spaniel dog
Tibetan Terrier,tibetan terrier
Tornjak,tornjak dog
Tosa,tosa dog
Toy Fox Terrier,toy fox terrier
Transylvanian Hound,transylvanian hound
Treeing Tennessee Brindle,treeing tennessee brindle dog
Treeing Walker Coonhound,treeing walker coonhound
Valley Bulldog,valley bulldog
Vizsla,vizsla dog
Weimaraner,weimaraner dog
Welsh Springer Spaniel,welsh springer spaniel dog
Welsh Terrier,welsh terrier
West Highland White Terrier,west highland white terrier
Westiepoo,westiepoo dog
Whippet,whippet dog
Whoodle,whoodle dog
Wirehaired Pointing Griffon,wirehaired pointing griffon dog
Working Kelpie,working kelpie dog
Xoloitzcuintli,xoloitzcuintli dog
Yakutian Laika,yakutian laika dog
Yorkipoo,yorkipoo dog
Yorkshire Terrier,yorkshire terrier
